date,sampling_session,population,water_access,altitude (m),delta_abundance (%),Tmin,Tmax ,individual_ID,hour,sex,age_class,snout_vent_length (mm),body_mass (g),parturition_date,reproductive_timing,litter_size,litter_mass (g),corticosterone (ng/ml)
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,144,12:15,F,adult,62,5.141,7/14/2015,-24,8,1.156,18.8
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,145,12:20,F,adult,59,3.78,7/13/2015,-23,6,0.992,19.39
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,146,12:20,M,adult,55,4.383,NA,NA,NA,NA,6.84
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,147,12:25,F,adult,64,5.019,7/13/2015,-23,5,1.066,19.93
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,148,12:30,M,adult,57,4.275,NA,NA,NA,NA,15.71
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,149,12:35,F,adult,56,4.849,7/7/2015,-17,6,1.117,48.81
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL9,12:40,F,yearling,48,2.05,NA,NA,NA,NA,24.02
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,150,12:45,F,adult,59,5.064,7/7/2015,-17,4,0.788,34.19
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,151,12:50,M,adult,51,2.98,NA,NA,NA,NA,13.16
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,152,12:55,F,adult,NA,NA,NA,NA,NA,NA,11.37
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,153,13:00,F,adult,66,7.073,7/11/2015,-21,11,1.906,34.45
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,154,13:05,M,adult,52,2.872,NA,NA,NA,NA,11.88
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL10,13:15,F,yearling,42,1.6,NA,NA,NA,NA,38.62
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,155,13:15,M,adult,57,3.87,NA,NA,NA,NA,8.96
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,SBL11,13:55,M,yearling,44,1.9,NA,NA,NA,NA,14.61
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,156,13:58,F,adult,61,4.864,7/11/2015,-21,6,0.958,46.05
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,157,14:05,F,adult,58,3.702,NA,NA,NA,NA,12.89
6/20/2015,early_summer,BEL,periodic,1418,42.37,8.8,33.96,158,14:07,F,adult,58,3.5,NA,NA,NA,NA,36.5
